FAC_NAME,YEAR_QTR,YEAR,PrivatePublic,TotalMargin,TYPE_HOSP
ENCINO TARZANA REGIONAL MEDICAL CENTER,20004,2000,Private,0.150449331,Comparable
ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,20004,2000,Private,0.002235045,Comparable
FAIRCHILD MEDICAL CENTER,20004,2000,Private,0.018290735,Comparable
FAIRVIEW DEVELOPMENTAL CENTER,20004,2000,Public,-0.000654291,State Hospitals
FALLBROOK HOSPITAL DISTRICT,20004,2000,Public,0.140244078,Comparable
FEATHER RIVER HOSPITAL,20004,2000,Private,-0.041376047,Comparable
FOOTHILL PRESBYTERIAN HOSPITAL,20004,2000,Private,-0.019099373,Comparable
FOUNTAIN VALLEY RGNL HOSP & MC-EUCLID,20004,2000,Private,0.137084403,Comparable
FRANK R HOWARD MEMORIAL HOSPITAL,20004,2000,Private,-0.052221957,Comparable
FREMONT HOSPITAL,20004,2000,Private,-0.061923408,Comparable
FREMONT HOSPITAL,20004,2000,Private,0.200710918,Comparable
FRENCH HOSPITAL MEDICAL CENTER,20004,2000,Private,-0.0718519,Comparable
FRESNO COUNTY - PHF,20004,2000,Public,-1.587889227,Psychiatric Health Facilities
FRESNO SURGERY CENTER,20004,2000,Private,0.110925959,Comparable
GARDEN GROVE HOSPITAL & MEDICAL CENTER,20004,2000,Private,0.208667298,Comparable
GARFIELD MEDICAL CENTER,20004,2000,Private,0.312301165,Comparable
GATEWAYS HOSPITAL AND MENTAL HEALTH CTR,20004,2000,Private,0.106078863,Comparable
GENERAL HOSPITAL,20004,2000,Private,0.122662723,Comparable
GEORGE L. MEE MEMORIAL HOSPITAL,20004,2000,Private,0.026967928,Comparable
GLENDALE ADVENTIST MEDICAL CENTER,20004,2000,Private,0.017722793,Comparable
GLENDALE MEMORIAL HOSPITAL & HEALTH CTR,20004,2000,Private,0.065111497,Comparable
GLENN MEDICAL CENTER,20004,2000,Private,-0.049074147,Comparable
GOLETA VALLEY COTTAGE HOSPITAL,20004,2000,Private,-0.040144751,Comparable
GOOD SAMARITAN HOSPITAL -  BAKERSFIELD,20004,2000,Private,0.043000956,Comparable
GOOD SAMARITAN HOSPITAL - LA,20004,2000,Private,0.017578371,Comparable
GOOD SAMARITAN HOSPITAL - SAN JOSE,20004,2000,Private,-0.02147452,Comparable
GRANADA HILLS COMMUNITY HOSPITAL,20004,2000,Private,-0.116718611,Comparable
GREATER EL MONTE COMMUNITY HOSPITAL,20004,2000,Private,0.094304352,Comparable
GROSSMONT HOSPITAL,20004,2000,Private,0.097589195,Comparable
HANFORD COMMUNITY HOSPITAL,20004,2000,Private,-0.033723391,Comparable
HAZEL HAWKINS MEMORIAL HOSPITAL,20004,2000,Public,0.02610868,Comparable
HEALDSBURG DISTRICT HOSPITAL,20004,2000,Public,-0.164654728,Comparable
HEALTHBRIDGE CHILDRENS REHAB,20004,2000,Private,-0.662588822,Comparable
HEALTHSOUTH BAKERSFIELD REG REHAB HOSP,20004,2000,Private,0.301710544,Comparable
HEBREW HOME FOR THE AGED DISABLED,20004,2000,Private,-0.165848895,LTC Emphasis
HEMET VALLEY MEDICAL CENTER,20004,2000,Public,0.072343104,Comparable
HENRY MAYO NEWHALL MEMORIAL HOSPITAL,20004,2000,Private,-0.118433772,Comparable
HERITAGE OAKS HOSPITAL,20004,2000,Private,0.164363321,Comparable
HI-DESERT MEDICAL CENTER,20004,2000,Public,0.021113949,Comparable
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,20004,2000,Private,0.227725309,Comparable
HOLLYWOOD COMMUNITY HOSP OF HOLLYWOOD,20004,2000,Private,0.045116189,Comparable
HOLLYWOOD PRESBYTERIAN MEDICAL CTR,20004,2000,Private,0.187692903,Comparable
HUNTINGTON BEACH HOSPITAL,20004,2000,Private,0.029336165,Comparable
HUNTINGTON MEMORIAL HOSPITAL,20004,2000,Private,-0.071509588,Comparable
INDIAN VALLEY HOSPITAL,20004,2000,Public,-0.059827783,Comparable
INGLESIDE HOSPITAL,20001,2000,Private,0.26743424,Comparable
IRVINE MEDICAL CENTER,20004,2000,Private,-0.119323967,Comparable
JEROLD PHELPS COMMUNITY HOSPITAL,20004,2000,Public,-0.018571134,Comparable
JOHN C FREMONT HEALTHCARE DISTRICT,20004,2000,Public,0.030436909,Comparable
JOHN F. KENNEDY MEMORIAL HOSPITAL,20004,2000,Private,0.192313597,Comparable
JOHN MUIR BEHAVIORAL HEALTH CENTER,20004,2000,Private,-0.158241295,Comparable
JOHN MUIR MED CTR-CONCORD CAMPUS,20004,2000,Private,-0.120674514,Comparable
JOHN MUIR MED CTR-WALNUT CREEK CAMPUS,20004,2000,Private,-0.014876299,Comparable
KAISER FND HOSP - SANTA TERESA COMMUNITY,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSP REHAB CTR - VALLEJO,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - BALDWIN PARK,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - BELLFLOWER,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - FONTANA,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - FRESNO,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - GEARY (S.F.),20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - HARBOR CITY,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - HAYWARD,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - OAKLAND CAMPUS,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - PANORAMA CITY,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - REDWOOD CITY,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - RIVERSIDE,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - SACRAMENTO,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - SAN DIEGO,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - SAN RAFAEL,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - SANTA CLARA,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - SANTA ROSA,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - SO SAN FRANCISCO,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - SOUTH SACRAMENTO,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - SUNSET,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - WALNUT CREEK,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - WEST LA,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FND HOSPITAL - WOODLAND HILLS,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FOUNDATION HOSPITAL - ANAHEIM,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FOUNDATION HSP-MANTECA,20004,2000,Private,0.033157045,Comparable
KAISER FOUNDATION NORTHERN REGION,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER FOUNDATION SOUTHERN REGION,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAISER PERMANENTE CHEMICAL DEP PROGRAM,20004,2000,Private,#DIV/0!,Kaiser Foundation Health
KAWEAH DELTA DISTRICT HOSPITAL,20004,2000,Public,0.056576028,Comparable
KEDREN COMMUNITY MENTAL HEALTH CENTER,20004,2000,Private,-0.00608058,Comparable
KENTFIELD REHABILITATION CENTER,20004,2000,Private,0.05303524,Comparable
KERN MEDICAL CENTER,20004,2000,Public,0.177161576,Comparable
KERN VALLEY HEALTHCARE DISTRICT,20004,2000,Public,-0.072002508,Comparable
KINDRED HOSPITAL - LA MIRADA,20004,2000,Private,0.131066623,Comparable
KINDRED HOSPITAL - LOS ANGELES,20004,2000,Private,0.087010898,Comparable
KINDRED HOSPITAL - MODESTO,20004,2000,Private,0.068232654,Comparable
KINDRED HOSPITAL - SAN DIEGO,20004,2000,Private,0.26493173,Comparable
KINDRED HOSPITAL BREA,20004,2000,Private,0.092483111,Comparable
KINDRED HOSPITAL ONTARIO,20004,2000,Private,0.371125496,Comparable
KINDRED HOSPITAL SAN FRANCISCO BAY AREA,20004,2000,Private,0.176010197,Comparable
KINDRED HOSPITAL WESTMINSTER,20004,2000,Private,0.141837218,Comparable
KINDRED HOSPITAL-SACRAMENTO,20004,2000,Private,0.139021319,Comparable
KINGSBURG MEDICAL HOSPITAL,20004,2000,Public,0.037110162,Comparable
LA CASA PSYCHIATRIC HEALTH FACILITY,20004,2000,Private,0.129113743,Psychiatric Health Facilities
LA PALMA INTERCOMMUNITY HOSPITAL,20004,2000,Private,-0.000258704,Comparable
LAC/HARBOR+UCLA MEDICAL CENTER,20004,2000,Public,-0.361843059,Comparable
LAC/HIGH DESERT HOSPITAL,20004,2000,Public,-1.093203399,Comparable
LAC/MARTIN LUTHER KING JR. DREW MED CTR,20004,2000,Public,0.330225958,Comparable
LAC/OLIVE VIEW -UCLA MED CTR,20004,2000,Public,-0.086915746,Comparable
LAC/RANCHO LOS AMIGOS NATIONAL REHAB CTR,20004,2000,Public,0.327059352,Comparable
LAC/USC MEDICAL CENTER,20004,2000,Public,0.079719494,Comparable
LAGUNA HONDA HOSP & REHAB CENTER,20004,2000,Public,-0.034127121,LTC Emphasis
LAKEWOOD REGIONAL MEDICAL CENTER - SOUTH,20004,2000,Private,0.141554289,Comparable
LANCASTER COMMUNITY HOSPITAL,20004,2000,Private,0.042547976,Comparable
LANGLEY PORTER PSYCHIATRIC INSTITUTE,20004,2000,Private,0.033094305,Comparable
LANTERMAN STATE HOSPITAL AND DEVELOPMENT,20004,2000,Public,-0.016738604,State Hospitals
LAS ENCINAS HOSPITAL,20004,2000,Private,-0.150459339,Comparable
LASSEN COMMUNITY HOSPITAL,20004,2000,Private,-0.110678767,Comparable
LINDSAY DISTRICT HOSPITAL,20004,2000,Public,-0.241955384,Comparable
LITTLE CO OF MARY-SAN PEDRO HOSPITAL,20004,2000,Private,0.004110922,Comparable
LITTLE COMPANY OF MARY HOSPITAL,20004,2000,Private,0.066557848,Comparable
LODI MEMORIAL HOSPITAL,20004,2000,Private,0.04736395,Comparable
LOMA LINDA UNIVERSITY BEHAVIORAL MEDICIN,20004,2000,Private,0.074710653,Comparable
LOMA LINDA UNIVERSITY MEDICAL CENTER,20004,2000,Private,0.041795501,Comparable
LOMPOC HEALTHCARE DISTRICT,20004,2000,Public,0.00496331,Comparable
LONG BEACH MEMORIAL MEDICAL CENTER,20004,2000,Private,0.009993685,Comparable
LOS ALAMITOS MEDICAL CENTER,20004,2000,Private,0.161247723,Comparable
LOS ANGELES COMMUNITY HOSPITAL,20004,2000,Private,0.19640044,Comparable
LOS ANGELES METROPOLITAN MEDICAL CENTER,20004,2000,Private,0.033407161,Comparable
LOS ROBLES REGIONAL MEDICAL CENTER,20004,2000,Private,0.168204898,Comparable
LUCILE S PACKARD CHILDRENS HOSPITAL,20004,2000,Private,-0.062081204,Comparable
MAD RIVER COMMUNITY HOSPITAL,20004,2000,Private,0.03513446,Comparable
MADERA COMMUNITY HOSPITAL,20004,2000,Private,0.026735059,Comparable
MAMMOTH HOSPITAL,20004,2000,Public,0.064180308,Comparable
MARIAN MEDICAL CENTER,20004,2000,Private,0.049141716,Comparable
MARIE GREEN PSYCHIATRIC CENTER,20004,2000,Public,0,Psychiatric Health Facilities
MARIN GENERAL HOSPITAL,20004,2000,Private,0.044022939,Comparable
MARK TWAIN ST. JOSEPHS HOSPITAL,20004,2000,Private,0.012631717,Comparable
MARSHALL MEDICAL CENTER,20004,2000,Private,0.037973204,Comparable
MAYERS MEMORIAL HOSPITAL,20004,2000,Public,-0.024986204,Comparable
MEMORIAL HOSPITAL AT EXETER,20004,2000,Public,-0.147449312,Comparable
MEMORIAL HOSPITAL LOS BANOS,20004,2000,Private,0.084284587,Comparable
MEMORIAL HOSPITAL MODESTO,20004,2000,Private,0.089927987,Comparable
MEMORIAL HOSPITAL OF GARDENA,20004,2000,Private,0.050501144,Comparable
MENDOCINO COAST DISTRICT HOSPTIAL,20004,2000,Public,-0.053072896,Comparable
MENDOCINO COUNTY MENTAL HEALTH - PHF,20004,2000,Public,0,Psychiatric Health Facilities
MENIFEE VALLEY MEDICAL CENTER,20004,2000,Public,0.058960923,Comparable
MENLO PARK SURGICAL HOSPITAL,20004,2000,Private,0.042605655,Comparable
MERCY GENERAL HOSPITAL,20004,2000,Private,0.067028927,Comparable
MERCY HOSPITAL - BAKERSFIELD,20004,2000,Private,-0.582526156,Comparable
MERCY HOSPITAL - FOLSOM,20004,2000,Private,0.186730488,Comparable
MERCY HOSPITAL OF MT. SHASTA,20004,2000,Private,0.09012016,Comparable
MERCY MED CTR MERCED-DOMINICAN CAMPUS,20004,2000,Private,0.045047717,Comparable
MERCY MEDICAL CENTER,20004,2000,Private,0.06990192,Comparable
MERCY MERCED MED CTR-COMMUNITY CAMPUS,20004,2000,Private,-0.059536906,Comparable
MERCY SAN JUAN HOSPITAL,20004,2000,Private,-0.037069541,Comparable
MERCY WESTSIDE HOSPITAL,20004,2000,Private,-0.254818655,Comparable
MERRITT PERALTA INSTITUTE CDRH,20004,2000,Private,-0.043274893,Comparable
METHODIST HOSPITAL OF SACRAMENTO,20004,2000,Private,-0.128253876,Comparable
METHODIST HOSPITAL OF SOUTHERN CAL,20004,2000,Private,-0.040879663,Comparable
METROPOLITAN STATE HOSPITAL,20004,2000,Public,-0.001895363,State Hospitals
MIRACLE MILE MEDICAL CENTER,20004,2000,Private,-0.480941415,Comparable
MISSION BAY HOSPITAL,20004,2000,Private,-0.501324203,Comparable
MISSION COMMUNITY HOSPITAL - PANORAMA,20004,2000,Private,0.268497765,Comparable
MISSION HOSPITAL REGIONAL MEDICAL CENTER,20004,2000,Private,0.08423338,Comparable
MODOC MEDICAL CENTER,20004,2000,Public,0.01877992,Comparable
MONROVIA COMMUNITY HOSPITAL,20004,2000,Private,0.012805877,Comparable
MONTCLAIR HOSPITAL MEDICAL CENTER,20004,2000,Private,-0.015088916,Comparable
MONTEREY PARK HOSPITAL,20004,2000,Private,0.153853188,Comparable
MORENO VALLEY COMMUNITY HOSPITAL,20004,2000,Public,0.06920758,Comparable
MOTION PICTURE & TELEVISION HOSPITAL,20004,2000,Private,-0.39758565,Comparable
MOUNTAINS COMMUNITY HOSPITAL,20004,2000,Public,-0.027685414,Comparable
NAPA STATE HOSPITAL,20004,2000,Public,-6.38325579,State Hospitals
NATIVIDAD MEDICAL CENTER,20004,2000,Public,0.014129258,Comparable
NELSON M HOLDERMAN MEMORIAL HOSPITAL,20004,2000,Public,-10.56139959,State Hospitals
NEWPORT BAY HOSPITAL,20004,2000,Private,0.077332029,Comparable
NORTH BAY MEDICAL CENTER,20004,2000,Private,0.084818977,Comparable
NORTH COAST HEALTH CARE CENTER- SOTOYOME,20001,2000,Private,-0.110286356,Comparable
NORTHERN CALIF REHABILITATION HOSPITAL,20004,2000,Private,-0.046720962,Comparable
NORTHERN INYO HOSPITAL,20004,2000,Public,-0.014142131,Comparable
NORTHRIDGE HOSPITAL MEDICAL CENTER,20004,2000,Private,0.047157046,Comparable
NORTHRIDGE HOSPITAL MEDICAL CTR-SHERMAN,20004,2000,Private,0.080566278,Comparable
NOVATO COMMUNITY HOSPITAL - OLD LOC,20004,2000,Private,0.084243452,Comparable
O CONNOR HOSPITAL,20004,2000,Private,0.088174706,Comparable
OAK VALLEY DISTRICT HOSPITAL,20004,2000,Public,0.080629733,Comparable
OASIS PSYCHIATRIC HEALTH FACILITY,20004,2000,Private,0.059022141,Psychiatric Health Facilities
OJAI VALLEY COMMUNITY HOSPITAL,20004,2000,Private,-0.03446938,Comparable
OLYMPIA MEDICAL CENTER,20004,2000,Private,-0.026108042,Comparable
ORANGE COAST MEMORIAL MEDICAL CENTER,20004,2000,Private,-0.155846342,Comparable
ORANGE COUNTY COMM HOSP - BUENA PARK,20004,2000,Private,0.039538936,Comparable
OROVILLE HOSPITAL,20004,2000,Private,0.030944463,Comparable
ORTHOPAEDIC HOSPITAL,20004,2000,Private,-0.02671518,Comparable
PACIFIC ALLIANCE MEDICAL CENTER,20004,2000,Private,0.127781946,Comparable
PACIFIC COAST HOSPITAL,20003,2000,Private,-0.416524528,Comparable
PACIFIC HOSPITAL OF LONG BEACH,20004,2000,Private,0.142265237,Comparable
PACIFIC SHORES,20004,2000,Private,0.128226436,Comparable
PACIFICA HOSPITAL OF THE VALLEY,20004,2000,Private,-0.171411766,Comparable
PALM DRIVE HOSPITAL,20004,2000,Public,-0.14616193,Comparable
PALO VERDE HOSPITAL,20004,2000,Private,0.069237245,Comparable
PALOMAR MEDICAL CENTER,20004,2000,Public,-0.080299713,Comparable
PARADISE VALLEY HOSPITAL,20004,2000,Private,-0.185774668,Comparable
PARKVIEW COMMUNITY HOSPITAL,20004,2000,Private,-0.08747859,Comparable
PATIENTS HOSPITAL OF REDDING,20004,2000,Private,0.088859968,Comparable
PATTON STATE HOSPITAL,20004,2000,Public,-7.960081447,State Hospitals
PENINSULA MEDICAL CENTER,20004,2000,Private,0.064645116,Comparable
PETALUMA VALLEY HOSPITAL,20004,2000,Private,0.098166956,Comparable
PINE GROVE HOSPITAL,20004,2000,Private,-0.013252292,Comparable
PIONEERS MEMORIAL HOSPITAL,20004,2000,Public,-0.029182896,Comparable
PLACENTIA-LINDA COMMUNITY HOSPITAL,20004,2000,Private,0.165379678,Comparable
PLUMAS DISTRICT HOSPITAL,20004,2000,Public,-0.086062215,Comparable
POMERADO HOSPITAL,20004,2000,Public,-0.004429466,Comparable
POMONA VALLEY HOSPITAL MEDICAL CENTER,20004,2000,Private,0.002222673,Comparable
PORTERVILLE STATE HOSPITAL,20004,2000,Public,-0.025208332,State Hospitals
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,20004,2000,Private,0.011785355,Comparable
PROMISE HOSPITAL OF EAST LOS ANGELES,20004,2000,Private,-0.000107674,Comparable
