FAC_NAME,YEAR_QTR,YEAR,PrivatePublic,TotalMargin
CHILDRENS HOSPITAL OF ORANGE COUNTY,20004,2000,Private,0.086599781
CHILDRENS HOSPITAL-SAN DIEGO,20004,2000,Private,0.021520013
CHILDRENS RECOVERY CENTER OF NORTHERN CA,20004,2000,Private,0.167094584
CHINESE HOSPITAL,20004,2000,Private,0.065650764
CHINO VALLEY MEDICAL CENTER,20004,2000,Private,0.157032179
CHOWCHILLA DISTRICT MEMORIAL HOSPITAL,20004,2000,Public,-0.247885471
CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,20004,2000,Private,-0.072950549
CITY OF ANGELS,20004,2000,Private,-0.13119696
CITY OF HOPE NATIONAL MEDICAL CENTER,20004,2000,Private,0.069376992
CLOVIS COMMUNITY HOSPITAL,20004,2000,Private,-0.121283263
COALINGA REGIONAL MEDICAL CENTER,20004,2000,Public,-0.053120048
COAST PLAZA DOCTORS HOSPITAL,20004,2000,Private,0.15400912
COASTAL COMMUNITIES HOSPITAL,20004,2000,Private,0.131881792
COLLEGE HOSPITAL,20004,2000,Private,-0.04287642
COLLEGE HOSPITAL COSTA MESA,20004,2000,Private,0.014130642
COLORADO RIVER MEDICAL CENTER,20004,2000,Private,0.226640169
COLUSA REGIONAL MEDICAL CENTER,20004,2000,Private,-0.000986577
COMMUNITY & MISSION HOSP-HTG PARK,20004,2000,Private,0.14690315
COMMUNITY HOSPITAL OF LONG BEACH,20003,2000,Private,-0.448040295
COMMUNITY HOSPITAL OF LOS GATOS,20004,2000,Private,-0.003117584
COMMUNITY HOSPITAL OF MONTEREY PENINSULA,20004,2000,Private,0.054111236
COMMUNITY HOSPITAL OF SAN BERNARDINO,20004,2000,Private,0.044129428
COMMUNITY MEM HOSP-SAN BUENAVENTURA,20004,2000,Private,0.057305805
COMMUNITY REGIONAL MEDICAL CENTER,20004,2000,Private,0.06717087
CONTINENTAL REHAB HOSP FOR SAN DIEGO,20004,2000,Private,0.068887039
CONTRA COSTA REGIONAL MEDICAL CENTER,20004,2000,Public,0.022324715
CORCORAN DISTRICT HOSPITAL,20004,2000,Public,-0.10783497
CORONA REGIONAL MEDICAL CENTER,20004,2000,Private,0.019110087
DAMERON HOSPITAL,20004,2000,Private,0.030121855
DEL AMO HOSPITAL,20004,2000,Private,0.036831636
DELANO REGIONAL MEDICAL CENTER,20004,2000,Private,0.136680834
DESERT REGIONAL MEDICAL CENTER,20004,2000,Private,0.285923663
DESERT VALLEY HOSPITAL,20004,2000,Private,0.021251769
DOCTORS HOSPITAL OF MANTECA,20004,2000,Private,0.163497655
DOCTORS HOSPITAL OF WEST COVINA,20004,2000,Private,0.019857018
DOCTORS MEDICAL CENTER,20004,2000,Private,0.359171443
DOCTORS MEDICAL CENTER - PINOLE,20004,2000,Private,-0.225598674
DOMINICAN SANTA CRUZ HOSPITAL - SOQUEL,20004,2000,Private,0.060758029
DOS PALOS MEMORIAL HOSPITAL,20004,2000,Private,-0.13724652
DOWNEY COMMUNITY HOSPITAL,20004,2000,Private,-0.15523437
DRS MEDICAL CENTER - SAN PABLO-PINOLE,20004,2000,Private,0.055194266
E & L MILLER CHILDRENS HOSPITAL,20004,2000,Private,-0.145560839
EAST LOS ANGELES DOCTORS HOSPITAL,20004,2000,Private,-0.040080281
EAST VALLEY HOSPITAL MED CTR,20004,2000,Private,-0.067913879
EASTERN PLUMAS HEALTH CARE,20004,2000,Public,-0.068531284
EDEN MEDICAL CENTER,20004,2000,Private,-0.053716664
EDGEMONT HOSPITAL,20001,2000,Private,-0.052871582
EISENHOWER MEDICAL CENTER,20004,2000,Private,-0.070644749
EL CAMINO HOSPITAL,20004,2000,Private,-0.007073348
EL CENTRO REGIONAL MEDICAL CENTER,20004,2000,Public,0.021940656
EL DORADO COUNTY MENTAL HEALTH - PHF,20004,2000,Public,0
ELASTAR COMMUNITY HOSPITAL,20004,2000,Private,-0.11487981
EMANUEL MEDICAL CENTER,20004,2000,Private,-0.686633291
ENCINO TARZANA REGIONAL MEDICAL CENTER,20004,2000,Private,0.038579293
ENCINO TARZANA REGIONAL MEDICAL CENTER,20004,2000,Private,0.150449331
ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,20004,2000,Private,0.002235045
FAIRCHILD MEDICAL CENTER,20004,2000,Private,0.018290735
FAIRVIEW DEVELOPMENTAL CENTER,20004,2000,Public,-0.000654291
FALLBROOK HOSPITAL DISTRICT,20004,2000,Public,0.140244078
FEATHER RIVER HOSPITAL,20004,2000,Private,-0.041376047
FOOTHILL PRESBYTERIAN HOSPITAL,20004,2000,Private,-0.019099373
FOUNTAIN VALLEY RGNL HOSP & MC-EUCLID,20004,2000,Private,0.137084403
FRANK R HOWARD MEMORIAL HOSPITAL,20004,2000,Private,-0.052221957
FREMONT HOSPITAL,20004,2000,Private,-0.061923408
FREMONT HOSPITAL,20004,2000,Private,0.200710918
FRENCH HOSPITAL MEDICAL CENTER,20004,2000,Private,-0.0718519
FRESNO COUNTY - PHF,20004,2000,Public,-1.587889227
FRESNO SURGERY CENTER,20004,2000,Private,0.110925959
GARDEN GROVE HOSPITAL & MEDICAL CENTER,20004,2000,Private,0.208667298
GARFIELD MEDICAL CENTER,20004,2000,Private,0.312301165
GATEWAYS HOSPITAL AND MENTAL HEALTH CTR,20004,2000,Private,0.106078863
GENERAL HOSPITAL,20004,2000,Private,0.122662723
GEORGE L. MEE MEMORIAL HOSPITAL,20004,2000,Private,0.026967928
GLENDALE ADVENTIST MEDICAL CENTER,20004,2000,Private,0.017722793
GLENDALE MEMORIAL HOSPITAL & HEALTH CTR,20004,2000,Private,0.065111497
GLENN MEDICAL CENTER,20004,2000,Private,-0.049074147
GOLETA VALLEY COTTAGE HOSPITAL,20004,2000,Private,-0.040144751
GOOD SAMARITAN HOSPITAL -  BAKERSFIELD,20004,2000,Private,0.043000956
GOOD SAMARITAN HOSPITAL - LA,20004,2000,Private,0.017578371
GOOD SAMARITAN HOSPITAL - SAN JOSE,20004,2000,Private,-0.02147452
GRANADA HILLS COMMUNITY HOSPITAL,20004,2000,Private,-0.116718611
GREATER EL MONTE COMMUNITY HOSPITAL,20004,2000,Private,0.094304352
GROSSMONT HOSPITAL,20004,2000,Private,0.097589195
HANFORD COMMUNITY HOSPITAL,20004,2000,Private,-0.033723391
HAZEL HAWKINS MEMORIAL HOSPITAL,20004,2000,Public,0.02610868
HEALDSBURG DISTRICT HOSPITAL,20004,2000,Public,-0.164654728
HEALTHBRIDGE CHILDRENS REHAB,20004,2000,Private,-0.662588822
HEALTHSOUTH BAKERSFIELD REG REHAB HOSP,20004,2000,Private,0.301710544
HEBREW HOME FOR THE AGED DISABLED,20004,2000,Private,-0.165848895
HEMET VALLEY MEDICAL CENTER,20004,2000,Public,0.072343104
HENRY MAYO NEWHALL MEMORIAL HOSPITAL,20004,2000,Private,-0.118433772
HERITAGE OAKS HOSPITAL,20004,2000,Private,0.164363321
HI-DESERT MEDICAL CENTER,20004,2000,Public,0.021113949
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,20004,2000,Private,0.227725309
HOLLYWOOD COMMUNITY HOSP OF HOLLYWOOD,20004,2000,Private,0.045116189
HOLLYWOOD PRESBYTERIAN MEDICAL CTR,20004,2000,Private,0.187692903
HUNTINGTON BEACH HOSPITAL,20004,2000,Private,0.029336165
HUNTINGTON MEMORIAL HOSPITAL,20004,2000,Private,-0.071509588
INDIAN VALLEY HOSPITAL,20004,2000,Public,-0.059827783
INGLESIDE HOSPITAL,20001,2000,Private,0.26743424
IRVINE MEDICAL CENTER,20004,2000,Private,-0.119323967
JEROLD PHELPS COMMUNITY HOSPITAL,20004,2000,Public,-0.018571134
JOHN C FREMONT HEALTHCARE DISTRICT,20004,2000,Public,0.030436909
JOHN F. KENNEDY MEMORIAL HOSPITAL,20004,2000,Private,0.192313597
JOHN MUIR BEHAVIORAL HEALTH CENTER,20004,2000,Private,-0.158241295
JOHN MUIR MED CTR-CONCORD CAMPUS,20004,2000,Private,-0.120674514
JOHN MUIR MED CTR-WALNUT CREEK CAMPUS,20004,2000,Private,-0.014876299
KAISER FND HOSP - SANTA TERESA COMMUNITY,20004,2000,Private,#DIV/0!
KAISER FND HOSP REHAB CTR - VALLEJO,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - BALDWIN PARK,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - BELLFLOWER,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - FONTANA,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - FRESNO,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - GEARY (S.F.),20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - HARBOR CITY,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - HAYWARD,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - OAKLAND CAMPUS,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - PANORAMA CITY,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - REDWOOD CITY,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - RIVERSIDE,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - SACRAMENTO,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - SAN DIEGO,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - SAN RAFAEL,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - SANTA CLARA,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - SANTA ROSA,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - SO SAN FRANCISCO,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - SOUTH SACRAMENTO,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - SUNSET,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - WALNUT CREEK,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - WEST LA,20004,2000,Private,#DIV/0!
KAISER FND HOSPITAL - WOODLAND HILLS,20004,2000,Private,#DIV/0!
KAISER FOUNDATION HOSPITAL - ANAHEIM,20004,2000,Private,#DIV/0!
KAISER FOUNDATION HSP-MANTECA,20004,2000,Private,0.033157045
KAISER FOUNDATION NORTHERN REGION,20004,2000,Private,#DIV/0!
KAISER FOUNDATION SOUTHERN REGION,20004,2000,Private,#DIV/0!
KAISER PERMANENTE CHEMICAL DEP PROGRAM,20004,2000,Private,#DIV/0!
KAWEAH DELTA DISTRICT HOSPITAL,20004,2000,Public,0.056576028
KEDREN COMMUNITY MENTAL HEALTH CENTER,20004,2000,Private,-0.00608058
KENTFIELD REHABILITATION CENTER,20004,2000,Private,0.05303524
KERN MEDICAL CENTER,20004,2000,Public,0.177161576
KERN VALLEY HEALTHCARE DISTRICT,20004,2000,Public,-0.072002508
KINDRED HOSPITAL - LA MIRADA,20004,2000,Private,0.131066623
KINDRED HOSPITAL - LOS ANGELES,20004,2000,Private,0.087010898
KINDRED HOSPITAL - MODESTO,20004,2000,Private,0.068232654
KINDRED HOSPITAL - SAN DIEGO,20004,2000,Private,0.26493173
KINDRED HOSPITAL BREA,20004,2000,Private,0.092483111
KINDRED HOSPITAL ONTARIO,20004,2000,Private,0.371125496
KINDRED HOSPITAL SAN FRANCISCO BAY AREA,20004,2000,Private,0.176010197
KINDRED HOSPITAL WESTMINSTER,20004,2000,Private,0.141837218
KINDRED HOSPITAL-SACRAMENTO,20004,2000,Private,0.139021319
KINGSBURG MEDICAL HOSPITAL,20004,2000,Public,0.037110162
LA CASA PSYCHIATRIC HEALTH FACILITY,20004,2000,Private,0.129113743
LA PALMA INTERCOMMUNITY HOSPITAL,20004,2000,Private,-0.000258704
LAC/HARBOR+UCLA MEDICAL CENTER,20004,2000,Public,-0.361843059
LAC/HIGH DESERT HOSPITAL,20004,2000,Public,-1.093203399
LAC/MARTIN LUTHER KING JR. DREW MED CTR,20004,2000,Public,0.330225958
LAC/OLIVE VIEW -UCLA MED CTR,20004,2000,Public,-0.086915746
LAC/RANCHO LOS AMIGOS NATIONAL REHAB CTR,20004,2000,Public,0.327059352
LAC/USC MEDICAL CENTER,20004,2000,Public,0.079719494
LAGUNA HONDA HOSP & REHAB CENTER,20004,2000,Public,-0.034127121
LAKEWOOD REGIONAL MEDICAL CENTER - SOUTH,20004,2000,Private,0.141554289
LANCASTER COMMUNITY HOSPITAL,20004,2000,Private,0.042547976
LANGLEY PORTER PSYCHIATRIC INSTITUTE,20004,2000,Private,0.033094305
LANTERMAN STATE HOSPITAL AND DEVELOPMENT,20004,2000,Public,-0.016738604
LAS ENCINAS HOSPITAL,20004,2000,Private,-0.150459339
LASSEN COMMUNITY HOSPITAL,20004,2000,Private,-0.110678767
LINDSAY DISTRICT HOSPITAL,20004,2000,Public,-0.241955384
LITTLE CO OF MARY-SAN PEDRO HOSPITAL,20004,2000,Private,0.004110922
LITTLE COMPANY OF MARY HOSPITAL,20004,2000,Private,0.066557848
LODI MEMORIAL HOSPITAL,20004,2000,Private,0.04736395
LOMA LINDA UNIVERSITY BEHAVIORAL MEDICIN,20004,2000,Private,0.074710653
LOMA LINDA UNIVERSITY MEDICAL CENTER,20004,2000,Private,0.041795501
LOMPOC HEALTHCARE DISTRICT,20004,2000,Public,0.00496331
LONG BEACH MEMORIAL MEDICAL CENTER,20004,2000,Private,0.009993685
LOS ALAMITOS MEDICAL CENTER,20004,2000,Private,0.161247723
LOS ANGELES COMMUNITY HOSPITAL,20004,2000,Private,0.19640044
LOS ANGELES METROPOLITAN MEDICAL CENTER,20004,2000,Private,0.033407161
LOS ROBLES REGIONAL MEDICAL CENTER,20004,2000,Private,0.168204898
LUCILE S PACKARD CHILDRENS HOSPITAL,20004,2000,Private,-0.062081204
MAD RIVER COMMUNITY HOSPITAL,20004,2000,Private,0.03513446
MADERA COMMUNITY HOSPITAL,20004,2000,Private,0.026735059
MAMMOTH HOSPITAL,20004,2000,Public,0.064180308
MARIAN MEDICAL CENTER,20004,2000,Private,0.049141716
MARIE GREEN PSYCHIATRIC CENTER,20004,2000,Public,0
MARIN GENERAL HOSPITAL,20004,2000,Private,0.044022939
MARK TWAIN ST. JOSEPHS HOSPITAL,20004,2000,Private,0.012631717
MARSHALL MEDICAL CENTER,20004,2000,Private,0.037973204
MAYERS MEMORIAL HOSPITAL,20004,2000,Public,-0.024986204
MEMORIAL HOSPITAL AT EXETER,20004,2000,Public,-0.147449312
MEMORIAL HOSPITAL LOS BANOS,20004,2000,Private,0.084284587
MEMORIAL HOSPITAL MODESTO,20004,2000,Private,0.089927987
MEMORIAL HOSPITAL OF GARDENA,20004,2000,Private,0.050501144
MENDOCINO COAST DISTRICT HOSPTIAL,20004,2000,Public,-0.053072896
MENDOCINO COUNTY MENTAL HEALTH - PHF,20004,2000,Public,0
MENIFEE VALLEY MEDICAL CENTER,20004,2000,Public,0.058960923
MENLO PARK SURGICAL HOSPITAL,20004,2000,Private,0.042605655
MERCY GENERAL HOSPITAL,20004,2000,Private,0.067028927
MERCY HOSPITAL - BAKERSFIELD,20004,2000,Private,-0.582526156
MERCY HOSPITAL - FOLSOM,20004,2000,Private,0.186730488
MERCY HOSPITAL OF MT. SHASTA,20004,2000,Private,0.09012016
MERCY MED CTR MERCED-DOMINICAN CAMPUS,20004,2000,Private,0.045047717
MERCY MEDICAL CENTER,20004,2000,Private,0.06990192
MERCY MERCED MED CTR-COMMUNITY CAMPUS,20004,2000,Private,-0.059536906
MERCY SAN JUAN HOSPITAL,20004,2000,Private,-0.037069541
MERCY WESTSIDE HOSPITAL,20004,2000,Private,-0.254818655
MERRITT PERALTA INSTITUTE CDRH,20004,2000,Private,-0.043274893
METHODIST HOSPITAL OF SACRAMENTO,20004,2000,Private,-0.128253876
METHODIST HOSPITAL OF SOUTHERN CAL,20004,2000,Private,-0.040879663
METROPOLITAN STATE HOSPITAL,20004,2000,Public,-0.001895363
MIRACLE MILE MEDICAL CENTER,20004,2000,Private,-0.480941415
MISSION BAY HOSPITAL,20004,2000,Private,-0.501324203
MISSION COMMUNITY HOSPITAL - PANORAMA,20004,2000,Private,0.268497765
MISSION HOSPITAL REGIONAL MEDICAL CENTER,20004,2000,Private,0.08423338
MODOC MEDICAL CENTER,20004,2000,Public,0.01877992
MONROVIA COMMUNITY HOSPITAL,20004,2000,Private,0.012805877
MONTCLAIR HOSPITAL MEDICAL CENTER,20004,2000,Private,-0.015088916
MONTEREY PARK HOSPITAL,20004,2000,Private,0.153853188
MORENO VALLEY COMMUNITY HOSPITAL,20004,2000,Public,0.06920758
MOTION PICTURE & TELEVISION HOSPITAL,20004,2000,Private,-0.39758565
MOUNTAINS COMMUNITY HOSPITAL,20004,2000,Public,-0.027685414
NAPA STATE HOSPITAL,20004,2000,Public,-6.38325579
NATIVIDAD MEDICAL CENTER,20004,2000,Public,0.014129258
NELSON M HOLDERMAN MEMORIAL HOSPITAL,20004,2000,Public,-10.56139959
NEWPORT BAY HOSPITAL,20004,2000,Private,0.077332029
NORTH BAY MEDICAL CENTER,20004,2000,Private,0.084818977
NORTH COAST HEALTH CARE CENTER- SOTOYOME,20001,2000,Private,-0.110286356
NORTHERN CALIF REHABILITATION HOSPITAL,20004,2000,Private,-0.046720962
NORTHERN INYO HOSPITAL,20004,2000,Public,-0.014142131
NORTHRIDGE HOSPITAL MEDICAL CENTER,20004,2000,Private,0.047157046
NORTHRIDGE HOSPITAL MEDICAL CTR-SHERMAN,20004,2000,Private,0.080566278
NOVATO COMMUNITY HOSPITAL - OLD LOC,20004,2000,Private,0.084243452
O CONNOR HOSPITAL,20004,2000,Private,0.088174706
OAK VALLEY DISTRICT HOSPITAL,20004,2000,Public,0.080629733
OASIS PSYCHIATRIC HEALTH FACILITY,20004,2000,Private,0.059022141
OJAI VALLEY COMMUNITY HOSPITAL,20004,2000,Private,-0.03446938
OLYMPIA MEDICAL CENTER,20004,2000,Private,-0.026108042
ORANGE COAST MEMORIAL MEDICAL CENTER,20004,2000,Private,-0.155846342
ORANGE COUNTY COMM HOSP - BUENA PARK,20004,2000,Private,0.039538936
OROVILLE HOSPITAL,20004,2000,Private,0.030944463
ORTHOPAEDIC HOSPITAL,20004,2000,Private,-0.02671518
PACIFIC ALLIANCE MEDICAL CENTER,20004,2000,Private,0.127781946
PACIFIC COAST HOSPITAL,20003,2000,Private,-0.416524528
PACIFIC HOSPITAL OF LONG BEACH,20004,2000,Private,0.142265237
PACIFIC SHORES,20004,2000,Private,0.128226436
PACIFICA HOSPITAL OF THE VALLEY,20004,2000,Private,-0.171411766
PALM DRIVE HOSPITAL,20004,2000,Public,-0.14616193
PALO VERDE HOSPITAL,20004,2000,Private,0.069237245
PALOMAR MEDICAL CENTER,20004,2000,Public,-0.080299713
PARADISE VALLEY HOSPITAL,20004,2000,Private,-0.185774668
PARKVIEW COMMUNITY HOSPITAL,20004,2000,Private,-0.08747859
PATIENTS HOSPITAL OF REDDING,20004,2000,Private,0.088859968
PATTON STATE HOSPITAL,20004,2000,Public,-7.960081447
PENINSULA MEDICAL CENTER,20004,2000,Private,0.064645116
PETALUMA VALLEY HOSPITAL,20004,2000,Private,0.098166956
PINE GROVE HOSPITAL,20004,2000,Private,-0.013252292
PIONEERS MEMORIAL HOSPITAL,20004,2000,Public,-0.029182896
PLACENTIA-LINDA COMMUNITY HOSPITAL,20004,2000,Private,0.165379678
PLUMAS DISTRICT HOSPITAL,20004,2000,Public,-0.086062215
POMERADO HOSPITAL,20004,2000,Public,-0.004429466
POMONA VALLEY HOSPITAL MEDICAL CENTER,20004,2000,Private,0.002222673
PORTERVILLE STATE HOSPITAL,20004,2000,Public,-0.025208332
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,20004,2000,Private,0.011785355
PROMISE HOSPITAL OF EAST LOS ANGELES,20004,2000,Private,-0.000107674
PROMISE HOSPITAL OF SAN DIEGO,20004,2000,Private,-0.493448627
PROVIDENCE HOLY CROSS MEDICAL CENTER,20004,2000,Private,-0.002187341
PROVIDENCE SAINT JOSEPH MEDICAL CENTER,20004,2000,Private,0.008351674
QUEEN OF THE VALLEY HOSPITAL,20004,2000,Private,0.097846748
RANCHO SPECIALTY HOSPITAL,20002,2000,Private,-0.028381068
REDBUD COMMUNITY HOSPITAL,20004,2000,Private,-0.125274357
REDLANDS COMMUNITY HOSPITAL,20004,2000,Private,0.030879448
REDWOOD MEMORIAL HOSPITAL,20004,2000,Private,0.04076608
REGIONAL MEDICAL CENTER OF SAN JOSE,20004,2000,Private,-0.259952082
REHABILITATION INST AT SANTA BARBARA,20004,2000,Private,-0.091996175
RESNICK NEUROPSYCHIATRIC HOSP AT UCLA,20004,2000,Private,0.15194266
RIDEOUT MEMORIAL HOSPITAL,20004,2000,Private,0.066458806
RIDGECREST REGIONAL HOSPITAL,20004,2000,Private,0.07301206
RIVERSIDE CENTER FOR BEHAVIORAL MEDICINE,20004,2000,Private,0.097624508
RIVERSIDE COMMUNITY HOSPITAL,20004,2000,Private,0.083892712
RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,20004,2000,Public,0.149001182
ROBERT F. KENNEDY MEDICAL CENTER,20004,2000,Private,0.012083627
S.T.A.R.S. PSYCHIATRIC HEALTH FACILITY -,20004,2000,Private,-0.055354799
SACRAMENTO COUNTY MENTAL HEALTH TRMT CTR,20004,2000,Public,0.088563144
SADDLEBACK MEMORIAL MEDICAL CENTER,20004,2000,Private,0.013449454
SALINAS VALLEY MEMORIAL HOSPITAL,20004,2000,Public,0.075730222
SAN ANTONIO COMMUNITY HOSPITAL,20004,2000,Private,-0.00912356
SAN CLEMENTE HOSPITAL AND MEDICAL CENTER,20004,2000,Private,-0.084854399
SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,20004,2000,Public,0
SAN DIEGO HOSPICE ACUTE CARE CENTER,20004,2000,Private,0.508232632
SAN DIEGO REHABILITATION INSTITUTE,20002,2000,Private,0.091347058
SAN DIMAS COMMUNITY HOSPITAL,20004,2000,Private,0.005762031
SAN FRANCISCO GENERAL HOSP MED CTR,20004,2000,Public,-0.631263046
SAN GABRIEL VALLEY MEDICAL CENTER,20004,2000,Private,0.066047853
SAN GORGONIO MEMORIAL HOSPITAL,20004,2000,Public,-0.270725102
SAN JOAQUIN COMMUNITY HOSPITAL,20004,2000,Private,-0.031932092
SAN JOAQUIN COUNTY MENTAL HEALTH SERVICE,20004,2000,Public,0
SAN JOAQUIN GENERAL HOSPITAL,20004,2000,Public,0.084337917
SAN JOAQUIN VALLEY REHAB HOSPITAL,20004,2000,Private,0.03529565
SAN JOSE MEDICAL CENTER,20004,2000,Private,-0.00749196
SAN LEANDRO HOSPITAL,20004,2000,Private,-0.058751339
SAN LUIS OBISPO COUNTY MENTAL HEALTH,20004,2000,Public,0.069014145
SAN LUIS OBISPO GENERAL HOSPITAL,20004,2000,Public,0.040141881
SAN MATEO MEDICAL CENTER,20004,2000,Public,-0.132278114
SAN RAMON REGIONAL MEDICAL CENTER,20004,2000,Private,0.130617032
SAN RAMON REHABILITATION HOSPITAL,20004,2000,Private,0.050689639
SANTA ANA HOSPITAL MEDICAL CENTER,20004,2000,Private,0.129124274
SANTA BARBARA COTTAGE HOSPITAL,20004,2000,Private,0.081243385
SANTA BARBARA COUNTY - PHF,20004,2000,Public,-1.112934983
SANTA CLARA VALLEY MEDICAL CENTER,20004,2000,Public,0.070211098
SANTA MONICA - UCLA MEDICAL CENTER,20004,2000,Private,-0.148337967
SANTA PAULA MEMORIAL HOSPITAL,20004,2000,Private,-0.281560207
